yr,age,reproduction,mass_jun,mass_sept,sex_lamb,mass_gain,density,temp,precipitation
87,3,1,51.42,64.38,0,12.96,61,11.67,283.9
89,8,0,57.14,74.11,0,16.97,72,12.05,260.1
86,4,1,49.52,64.46,0,14.93,58,12.1,410.4
86,8,1,52.16,66.11,0,13.95,58,12.1,410.4
96,12,1,60.11,80.92,0,20.81,73,11.67,116.2
78,3,0,48.60,63.10,0,14.50,33,12.07,308.8
84,5,1,47.49,69.46,0,21.96,47,11.33,206.2
84,4,1,45.68,67.40,0,21.73,47,11.33,206.2
84,9,1,64.26,89.05,0,24.79,47,11.33,206.2
84,6,0,48.60,70.67,0,22.07,47,11.33,206.2
84,3,1,44.12,65.54,0,21.43,47,11.33,206.2
84,4,0,49.38,71.62,0,22.25,47,11.33,206.2
106,5,1,64.55,80.34,0,15.79,17,NA,NA
95,4,0,44.33,61.37,0,17.04,79,10.77,463.1
85,6,0,55.29,73.26,0,17.96,51,11.07,322.9
85,5,1,48.95,61.66,0,12.71,51,11.07,322.9
76,8,1,52.77,66.52,0,13.75,30,11.33,239.7
91,3,1,45.98,59.83,0,13.85,97,11.77,316.6
85,2,1,45.63,63.33,0,17.71,51,11.07,322.9
96,6,0,50.26,71.25,0,20.99,73,11.67,116.2
96,6,0,51.49,65.73,0,14.24,73,11.67,116.2
85,6,1,62.45,75.12,0,12.67,51,11.07,322.9
85,7,1,61.30,74.80,0,13.50,51,11.07,322.9
89,10,1,55.43,73.57,0,18.13,72,12.05,260.1
101,13,1,53.96,66.92,0,12.96,32,12.17,165.7
89,3,1,48.25,65.29,0,17.04,72,12.05,260.1
89,11,1,61.64,79.51,0,17.87,72,12.05,260.1
89,8,1,51.00,66.72,0,15.73,72,12.05,260.1
75,3,1,47.67,64.24,0,16.57,33,11.2,138.4
89,5,1,42.54,62.47,0,19.92,72,12.05,260.1
89,4,1,40.12,56.48,0,16.36,72,12.05,260.1
89,9,1,52.62,67.95,0,15.34,72,12.05,260.1
89,4,1,40.72,55.75,0,15.03,72,12.05,260.1
89,7,1,44.56,61.25,0,16.69,72,12.05,260.1
93,5,0,49.91,63.11,0,13.19,97,10.65,219.1
88,6,1,67.34,74.42,0,7.08,65,11.93,245.7
89,10,1,55.14,72.20,0,17.06,72,12.05,260.1
94,9,1,51.56,66.32,0,14.76,90,11.67,264.7
89,5,1,53.42,69.21,0,15.80,72,12.05,260.1
89,3,0,40.94,56.10,0,15.17,72,12.05,260.1
89,11,0,52.04,65.40,0,13.36,72,12.05,260.1
89,10,1,53.13,69.71,0,16.58,72,12.05,260.1
93,8,0,54.24,66.01,0,11.77,97,10.65,219.1
88,3,1,45.44,54.60,0,9.16,65,11.93,245.7
88,6,1,63.25,69.98,0,6.73,65,11.93,245.7
88,6,1,63.03,75.06,0,12.03,65,11.93,245.7
92,10,0,66.59,78.52,0,11.93,103,11.23,183.7
87,7,1,56.52,69.48,0,12.96,61,11.67,283.9
89,7,0,60.42,76.57,0,16.16,72,12.05,260.1
88,6,1,65.07,77.44,0,12.37,65,11.93,245.7
89,8,1,58.46,76.08,0,17.62,72,12.05,260.1
88,10,1,65.66,76.27,0,10.61,65,11.93,245.7
88,3,1,51.64,61.19,0,9.55,65,11.93,245.7
92,10,1,61.17,71.83,0,10.66,103,11.23,183.7
89,5,0,50.48,67.55,0,17.06,72,12.05,260.1
88,4,1,59.48,72.99,0,13.50,65,11.93,245.7
88,6,1,66.01,76.96,0,10.94,65,11.93,245.7
88,8,1,62.68,70.98,0,8.30,65,11.93,245.7
78,2,0,40.36,53.26,0,12.91,33,12.07,308.8
101,6,1,56.77,69.77,0,13.00,32,12.17,165.7
101,10,0,52.86,66.44,0,13.58,32,12.17,165.7
101,13,0,54.52,68.70,0,14.18,32,12.17,165.7
79,4,1,60.83,73.09,0,12.27,34,12.27,145.1
107,4,1,52.94,65.46,0,12.52,16,NA,NA
90,9,1,57.83,72.89,0,15.06,83,11.9,345.2
76,5,1,56.12,69.85,0,13.74,30,11.33,239.7
100,5,1,57.16,76.68,0,19.52,37,11.6,242.2
96,5,0,54.12,76.57,0,22.45,73,11.67,116.2
105,10,1,63.65,82.67,0,19.02,19,10.8,419.2
102,7,1,51.89,68.52,0,16.63,21,12.23,185.8
78,2,1,43.43,56.93,0,13.50,33,12.07,308.8
103,8,0,62.05,77.28,0,15.23,20,13.03,159.6
98,12,1,58.77,74.31,0,15.54,54,13.2,327.3
78,4,0,53.02,68.38,0,15.36,33,12.07,308.8
101,6,0,57.62,71.02,0,13.40,32,12.17,165.7
